"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"683"	169	683	2	0	"Genetic"
"684"	169	684	2	1	"Genetic"
"685"	172	685	2	0	"Genetic"
"686"	173	686	2	1	"Genetic"
"687"	175	687	2	0	"Genetic"
"688"	189	688	2	0	"Genetic"
"689"	193	689	2	1	"Genetic"
"690"	201	690	2	1	"Genetic"
"691"	202	691	2	0	"Genetic"
"692"	207	692	2	0	"Genetic"
"693"	207	693	2	1	"Genetic"
"694"	207	694	2	1	"Genetic"
"695"	211	695	2	0	"Genetic"
"696"	212	696	2	0	"Genetic"
"697"	213	697	2	1	"Genetic"
"698"	213	698	2	1	"Genetic"
"699"	213	699	2	0	"Genetic"
"700"	217	700	2	0	"Genetic"
"701"	221	701	2	1	"Genetic"
"702"	221	702	2	0	"Genetic"
"703"	224	703	2	2	"Genetic"
"704"	225	704	2	1	"Genetic"
"705"	231	705	2	0	"Genetic"
"706"	238	706	2	1	"Genetic"
"707"	241	707	2	1	"Genetic"
"708"	241	708	2	1	"Genetic"
"709"	241	709	2	1	"Genetic"
"710"	241	710	2	1	"Genetic"
"711"	241	711	2	1	"Genetic"
"712"	244	712	2	1	"Genetic"
"713"	246	713	2	1	"Genetic"
"714"	250	714	2	0	"Genetic"
"715"	251	715	2	0	"Genetic"
"716"	254	716	2	0	"Genetic"
"717"	259	717	2	0	"Genetic"
"718"	261	718	2	0	"Genetic"
"719"	261	719	2	2	"Genetic"
"720"	270	720	2	0	"Genetic"
"721"	270	721	2	1	"Genetic"
"722"	271	722	2	1	"Genetic"
